"measurement.ID","sites.sitename","plot.name","stand.age","dominant.life.form","dominant.veg","variable.name","date","start.date","end.date","mean","min.dbh","citation.ID","country","lat","lon","masl","mat","map","geographic.area","biogeog","Koeppen","FAO.ecozone","plot.area","year.establishment.oldest.trees","regrowth.hist.type","regrowth.year","dist.mrs.hist.type","dist.mrs.yr"
4067,"Deqin Picea, Abies 6","Picea, Abies","100","woody","2TEN","biomass","NRA","NRA","NRA",96.77,"NAC","Luo_1996_ponp","China",28.9,99.02,NA,3.3,1412,212,"Palearctic","Cwb","Subtropical mountain system","NAC","NAC","NAC","NAC","NAC","NAC"
4068,"Deqin Picea, Abies 6","Picea, Abies","100","woody","2TEN","biomass_root","NRA","NRA","NRA",17,"NAC","Luo_1996_ponp","China",28.9,99.02,NA,3.3,1412,212,"Palearctic","Cwb","Subtropical mountain system","NAC","NAC","NAC","NAC","NAC","NAC"
4069,"Deqin Picea, Abies 7","Picea, Abies","200","woody","2TEN","biomass_ag","NRA","NRA","NRA",191.4,"NAC","Luo_1996_ponp","China",27.82,99.14,NA,5.6,1209,210,"Palearctic","Cwb","Subtropical mountain system","NAC","NAC","NAC","NAC","NAC","NAC"
4070,"Deqin Picea, Abies 7","Picea, Abies","200","woody","2TEN","biomass","NRA","NRA","NRA",233.81,"NAC","Luo_1996_ponp","China",27.82,99.14,NA,5.6,1209,210,"Palearctic","Cwb","Subtropical mountain system","NAC","NAC","NAC","NAC","NAC","NAC"
4071,"Deqin Picea, Abies 7","Picea, Abies","200","woody","2TEN","biomass_root","NRA","NRA","NRA",42.4,"NAC","Luo_1996_ponp","China",27.82,99.14,NA,5.6,1209,210,"Palearctic","Cwb","Subtropical mountain system","NAC","NAC","NAC","NAC","NAC","NAC"
4075,"Dinghushan (DHS)","primary forest","100","woody","2TEB","NEE","2008",NA,NA,-3.9595,NA,"Yu_2013_spac","China",23.17,112.53,300,20.37,1481.67,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","1908","NAC","NAC","No disturbance","1956"
4076,"Dinghushan (DHS)","primary forest","100","woody","2TEB","GPP","2008",NA,NA,13.6726,NA,"Yu_2013_spac","China",23.17,112.53,300,20.37,1481.67,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","1908","NAC","NAC","No disturbance","1956"
4077,"Dinghushan (DHS)","primary forest","100","woody","2TEB","R_eco","2008",NA,NA,9.7131,NA,"Yu_2013_spac","China",23.17,112.53,300,20.37,1481.67,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","1908","NAC","NAC","No disturbance","1956"
4089,"Dinghushan 5","Cryptocarya chinensis community","999","woody","2TEB","biomass","NRA","NRA","NRA",178.6,"NAC","Peng_1994_bpae","China",23.18,112.53,NA,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NRA","NRA","NRA","NRA","NRA"
4090,"Dinghushan 5","Cryptocarya chinensis community","999","woody","2TEB","biomass_ag","NRA","NRA","NRA",111.766,"NAC","Peng_1994_bpae","China",23.18,112.53,NA,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NRA","NRA","NRA","NRA","NRA"
4094,"Dinghushan 6","Cryptocarya concinna community","999","woody","2TEB","biomass_root_coarse","NI","NI","NI",14.992201,"NAC","Zhang_1996_baeo","China",23.18,112.53,200,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NAC","Initiation of post-disturbance cohort (natural)","1948","Harvest","1948"
4095,"Dinghushan 6","Cryptocarya concinna community","999","woody","2TEB","biomass_root_fine","NI","NI","NI",2.95442,NA,"Zhang_1996_baeo","China",23.18,112.53,200,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NAC","Initiation of post-disturbance cohort (natural)","1948","Harvest","1948"
4100,"Dinghushan 6","Cryptocarya concinna community","999","woody","2TEB","biomass_root","NI","NI","NI",18.416762,"0","Zhang_1996_baeo","China",23.18,112.53,200,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NAC","Initiation of post-disturbance cohort (natural)","1948","Harvest","1948"
4102,"Dinghushan 6","Cryptocarya concinna community","999","woody","2TEB","NPP_1","1992",NA,NA,3.584737,"NAC","Zhang_1996_baeo","China",23.18,112.53,200,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NAC","Initiation of post-disturbance cohort (natural)","1948","Harvest","1948"
4103,"Dinghushan 6","Cryptocarya concinna community","999","woody","2TEB","NPP_2","1992",NA,NA,8.2203,"NAC","Zhang_1996_baeo","China",23.18,112.53,200,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NAC","Initiation of post-disturbance cohort (natural)","1948","Harvest","1948"
4104,"Dinghushan 6","Cryptocarya concinna community","999","woody","2TEB","NPP_3","1992",NA,NA,8.262083,"NAC","Zhang_1996_baeo","China",23.18,112.53,200,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NAC","Initiation of post-disturbance cohort (natural)","1948","Harvest","1948"
4105,"Dinghushan 6","Cryptocarya concinna community","999","woody","2TEB","BNPP_root","1992",NA,NA,0.715857,"NAC","Zhang_1996_baeo","China",23.18,112.53,200,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NAC","Initiation of post-disturbance cohort (natural)","1948","Harvest","1948"
4106,"Dinghushan 6","Cryptocarya concinna community","999","woody","2TEB","ANPP_woody_stem","1992",NA,NA,2.040082,"NAC","Zhang_1996_baeo","China",23.18,112.53,200,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NAC","Initiation of post-disturbance cohort (natural)","1948","Harvest","1948"
4107,"Dinghushan 6","Cryptocarya concinna community","999","woody","2TEB","ANPP_foliage","1992",NA,NA,3.737299,NA,"Zhang_1996_baeo","China",23.18,112.53,200,21,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NAC","Initiation of post-disturbance cohort (natural)","1948","Harvest","1948"
4108,"Dinghushan 7.broadleaf forest","monsoon evergreen broadleaf forest (MEBF)","999","woody","2TEB","biomass","NI","NI","NI",193.6635,"0","Fang_2003_rofs","China",23.166667,112.55,285,21.4,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NAC","NAC","NAC","No disturbance","1600"
4109,"Dinghushan 7.broadleaf forest","monsoon evergreen broadleaf forest (MEBF)","999","woody","2TEB","biomass_ag","NI","NI","NI",143.9939,"NAC","Fang_2003_rofs","China",23.166667,112.55,285,21.4,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NAC","NAC","NAC","No disturbance","1600"
4110,"Dinghushan 7.broadleaf forest","monsoon evergreen broadleaf forest (MEBF)","999","woody","2TEB","biomass_ag_woody","NI","NI","NI",139.9049,"NAC","Fang_2003_rofs","China",23.166667,112.55,285,21.4,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NAC","NAC","NAC","No disturbance","1600"
4111,"Dinghushan 7.broadleaf forest","monsoon evergreen broadleaf forest (MEBF)","999","woody","2TEB","biomass_ag_foliage","NI","NI","NI",4.089,"NAC","Fang_2003_rofs","China",23.166667,112.55,285,21.4,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NAC","NAC","NAC","No disturbance","1600"
4112,"Dinghushan 7.broadleaf forest","monsoon evergreen broadleaf forest (MEBF)","999","woody","2TEB","biomass_root","NI","NI","NI",47.6862,"0","Fang_2003_rofs","China",23.166667,112.55,285,21.4,1927,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","NAC","NAC","NAC","No disturbance","1600"
4123,"Dinghushan MEBF","unmanaged","400","woody","2TEB","R_soil","2004",NA,NA,15.68,NA,"Yan_2006_eosr","China",23.15,112.5,260,20.9,1956,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","1604","NAC","NAC","No disturbance","1964"
4124,"Dinghushan MEBF","unmanaged","400","woody","2TEB","R_het_soil","2004",NA,NA,10.24,NA,"Yan_2006_eosr","China",23.15,112.5,260,20.9,1956,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","1604","NAC","NAC","No disturbance","1964"
4125,"Dinghushan MF","unmanaged","100","woody","2TE","R_soil","2004",NA,NA,10.01,NA,"Yan_2006_eosr","China",23.15,112.5,260,20.9,1956,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","1904","NAC","NAC","No disturbance","1964"
4126,"Dinghushan MF","unmanaged","100","woody","2TE","R_het_soil","2004",NA,NA,7.51,NA,"Yan_2006_eosr","China",23.15,112.5,260,20.9,1956,214,"IndoMalay","Cfa","Subtropical humid forest","NAC","1904","NAC","NAC","No disturbance","1964"
