siteID,sites.sitename,city,state,country,lat,lon,masl,geography.notes,mat,min.temp,max.temp,map,climate.notes,soil.texture,soil.classification,soilnotes,hydrology.notes,sitenotes,siteref,area,biogeog,Koeppen,FAOecozone,siteID.v1,tropical_extratropical,indicates.site.that.lacks.info.direct.from.pub,loaded_from,loaded_by
1903,Wet-114,NAC,Thuringen,Germany,50.45,11.45,730,NA,5.5,NAC,NAC,950,NA,clay loam,NAC,NA,NA,NA,"Forecast,",304,Palearctic,Cfb,Temperate mountain system,NA,extratropical,*,Luyssaert2007,Maria
1904,Wet-160,NAC,Thuringen,Germany,50.45,11.45,650,NA,5.5,NAC,NAC,950,NA,clay loam,NAC,NA,NA,NA,"Forecast,",304,Palearctic,Cfb,Temperate mountain system,NA,extratropical,*,Luyssaert2007,Maria
1905,Wet-33,NAC,Thuringen,Germany,50.45,11.45,725,NA,5.5,NAC,NAC,950,NA,clay loam,NAC,NA,NA,NA,"Forecast,",304,Palearctic,Cfb,Temperate mountain system,NA,extratropical,*,Luyssaert2007,Maria
1906,Wet-6,NAC,Thuringen,Germany,50.45,11.45,730,NA,5.5,NAC,NAC,950,NA,clay loam,NAC,NA,NA,NA,"Forecast,",304,Palearctic,Cfb,Temperate mountain system,NA,extratropical,*,Luyssaert2007,Maria
1907,Wet-60,NAC,Thuringen,Germany,50.45,11.45,730,NA,5.5,NAC,NAC,950,NA,clay loam,NAC,NA,NA,NA,"Forecast,",304,Palearctic,Cfb,Temperate mountain system,NA,extratropical,*,Luyssaert2007,Maria
1908,Wet-67,NAC,Thuringen,Germany,50.45,11.45,780,NA,5.5,NAC,NAC,950,NA,clay loam,NAC,NA,NA,NA,"Forecast,",304,Palearctic,Cfb,Temperate mountain system,NA,extratropical,*,Luyssaert2007,Maria
1909,Wet-9,NAC,Thuringen,Germany,50.45,11.45,760,NA,5.5,NAC,NAC,950,NA,clay loam,NAC,NA,NA,NA,"Forecast,",304,Palearctic,Cfb,Temperate mountain system,NA,extratropical,*,Luyssaert2007,Maria
1910,Wet-T-57,NAC,Thuringen,Germany,50.45,11.46,785,NA,6.8,NAC,NAC,1067.2,NA,clay loam,NAC,NA,NA,NA,"Forecast,",304,Palearctic,Cfb,Temperate mountain system,NA,extratropical,*,Luyssaert2007,Maria
1911,Wetzstein,NAC,Sachsen-Anhalt,Germany,51.45,11.45,785,NA,6.6,NAC,NAC,1944,NA,NAC,NAC,NA,NA,NA,NA,NA,Palearctic,Cfb,Temperate oceanic forest,NA,extratropical,,Yu2014,Maria
1912,Wildfire-regenerating Jack Pine Chronosequence 1,NAC,Michigan,United States of America,44.516,-84.267,NAC,NA,6.3,NAC,NAC,690,NA,sand,Entisol,"Acidic, excessively drained, poorly developed sands of the Grayling series (Isotic, frigid Typic Udipsamments).",NA,NA,NA,199,Nearctic,Dfb,Temperate continental forest,NA,extratropical,,,
