"","site.ID","sites.sitename","network","alt.names","super.site","city","state","country","lat","lon","coordinates.precision","masl","geography.notes","mat","min.temp","max.temp","map","climate.notes","soil.texture","sand","silt","clay","soil.classification","soil.notes","hydrology.notes","site.notes","geographic.area","continent","biogeog","Koeppen","FAO.ecozone","site.ID.v1","measurement.refs","site.ref","ref.notes","lacks.info.from.ori.pub","loaded.from","loaded.by","potential_duplicate_group","potential_duplicate_group_parsed","confirmed.unique","potential_duplicate_group_manual","duplicate.notes","optional","WC_MAT","WC_MAP","WC_warmest","WC_coldest","climate.data.suspect"
"565",573,"Emigrant Butte 6",NA,NA,NA,"NAC","Oregon","United States of America",43.4949,-122.1896,"NAC","1439",NA,NA,NA,NA,NA,NA,"loam","NAC","NAC","NAC","NAC",NA,NA,NA,235,"North America","Nearctic","Csb","Temperate mountain system",NA,"Luyssaert_2007_cbob",NA,"Sun et al 2004",1,"Luyssaert_2007_cbob","Maria",0,"0",NA,"0",NA,TRUE,5.48333358764648,1346,14.3999996185303,-1.5,NA
"566",574,"Entre-Rios E. grandis x urophylla stand 1",NA,NA,NA,"Entre-Rios","Bahia","Brazil",-11.916667,-38.533333,"NAC","230",NA,25.5,20.9,30,882,NA,"sandy","NAC","NAC","NAC","Entisol","Quartzipsamment","NAC",NA,236,"South America","Neotropics","As","Tropical dry forest","306","Stape_2004_epat",NA,NA,NA,NA,NA,0,"0",NA,"0",NA,TRUE,22.7749996185303,993,24.3999996185303,20.2999992370605,NA
"567",575,"Entre-Rios E. grandis x urophylla stand 10",NA,NA,NA,"Entre-Rios","Bahia","Brazil",-11.966667,-38.116667,"NAC","180",NA,25.5,20.9,30,1131,NA,"sandy","NAC","NAC","NAC","Ultisol","Ultisol","NAC",NA,236,"South America","Neotropics","As","Tropical rainforest","308","Stape_2004_epat",NA,NA,NA,NA,NA,0,"0",NA,"0",NA,TRUE,23.4958343505859,1432,25.1000003814697,21.1000003814697,NA
"568",576,"Entre-Rios E. grandis x urophylla stand 11",NA,NA,NA,"Entre-Rios","Bahia","Brazil",-12,-38.233333,"NAC","200",NA,25.5,20.9,30,1054,NA,"sandy","NAC","NAC","NAC","Ultisol","Ultisol","NAC",NA,236,"South America","Neotropics","Af","Tropical rainforest","310","Stape_2004_epat",NA,NA,NA,NA,NA,0,"0",NA,"0",NA,TRUE,23.5041675567627,1342,25.1000003814697,21.1000003814697,NA
"569",577,"Entre-Rios E. grandis x urophylla stand 12",NA,NA,NA,"Entre-Rios","Bahia","Brazil",-12.266667,-38.85,"NAC","50",NA,25.5,20.9,30,1605,NA,"sandy","NAC","NAC","NAC","Entisol","Quartzipsamment","NAC",NA,237,"South America","Neotropics","Af","Tropical dry forest","314","Stape_2004_epat",NA,NA,NA,NA,NA,0,"0",NA,"0",NA,TRUE,23.6083335876465,1064,25.2999992370605,21,NA
"570",578,"Entre-Rios E. grandis x urophylla stand 13",NA,NA,NA,"Entre-Rios","Bahia","Brazil",-12.3,-38.016667,"NAC","80",NA,25.5,20.9,30,1611,NA,"sandy","NAC","NAC","NAC","Ultisol","Ultisol","NAC",NA,238,"South America","Neotropics","Af","Tropical rainforest","315","Stape_2004_epat",NA,NA,NA,NA,NA,0,"0",NA,"0",NA,TRUE,24.4166660308838,1811,26,22.2000007629395,NA
"571",579,"Entre-Rios E. grandis x urophylla stand 14",NA,NA,NA,"Entre-Rios","Bahia","Brazil",-12.25,-38.95,"NAC","100",NA,25.5,20.9,30,1654,NA,"sandy","NAC","NAC","NAC","Ultisol","Ultisol","NAC",NA,237,"South America","Neotropics","Af","Tropical dry forest","313","Stape_2004_epat",NA,NA,NA,NA,NA,0,"0",NA,"0",NA,TRUE,23.4458332061768,999,25.2000007629395,20.7999992370605,NA
"572",580,"Entre-Rios E. grandis x urophylla stand 2",NA,NA,NA,"Entre-Rios","Bahia","Brazil",-11.95,-38.483333,"NAC","270",NA,25.5,20.9,30,916,NA,"sandy","NAC","NAC","NAC","Entisol","Quartzipsamment","NAC",NA,236,"South America","Neotropics","As","Tropical rainforest","307","Stape_2004_epat",NA,NA,NA,NA,NA,0,"0",NA,"0",NA,TRUE,23.279167175293,1038,24.8999996185303,20.7999992370605,NA
"573",581,"Entre-Rios E. grandis x urophylla stand 3",NA,NA,NA,"Entre-Rios","Bahia","Brazil",-11.783333,-38.55,"NAC","210",NA,25.5,20.9,30,853,NA,"sandy","NAC","NAC","NAC","Oxisol","Oxisol","NAC",NA,236,"South America","Neotropics","As","Tropical dry forest","303","Stape_2004_epat",NA,NA,NA,NA,NA,0,"0",NA,"0",NA,TRUE,23.216667175293,830,24.8999996185303,20.7000007629395,NA
"574",582,"Entre-Rios E. grandis x urophylla stand 4",NA,NA,NA,"Entre-Rios","Bahia","Brazil",-11.85,-38.466667,"NAC","250",NA,25.5,20.9,30,935,NA,"sandy","NAC","NAC","NAC","Oxisol","Oxisol","NAC",NA,236,"South America","Neotropics","As","Tropical dry forest","305","Stape_2004_epat",NA,NA,NA,NA,NA,0,"0",NA,"0",NA,TRUE,23.1041660308838,938,24.7999992370605,20.6000003814697,NA
